
> coreone-backend@1.1.0 dev
> tsx watch src/app.ts

Database initialized successfully
(node:27316) ExperimentalWarning: SQLite is an experimental feature and might change at any time
(Use `node --trace-warnings ...` to show where the warning was created)
COREONE Backend Server running on port 3001
API Base URL: http://localhost:3001/api/v1
[2026-05-20T03:43:21.953Z] POST /api/v1/auth/login
[2026-05-20T03:43:22.219Z] GET /api/v1/users
[2026-05-20T03:43:23.294Z] POST /api/v1/auth/login
[2026-05-20T03:43:23.614Z] GET /api/v1/inventory/stats
[2026-05-20T03:43:23.783Z] GET /api/v1/users
[2026-05-20T03:43:23.785Z] GET /api/v1/roles
[2026-05-20T03:43:23.787Z] GET /api/v1/users
[2026-05-20T03:43:23.789Z] GET /api/v1/roles
[2026-05-20T03:43:25.460Z] POST /api/v1/auth/login
[2026-05-20T03:43:25.750Z] GET /api/v1/users
[2026-05-20T03:43:26.298Z] POST /api/v1/auth/login
[2026-05-20T03:43:27.005Z] GET /api/v1/users
[2026-05-20T03:43:27.009Z] GET /api/v1/users
[2026-05-20T03:43:27.011Z] GET /api/v1/roles
[2026-05-20T03:43:27.013Z] GET /api/v1/roles
[2026-05-20T03:43:28.724Z] POST /api/v1/auth/login
[2026-05-20T03:43:29.057Z] GET /api/v1/users
[2026-05-20T03:43:29.828Z] POST /api/v1/auth/login
[2026-05-20T03:43:30.404Z] GET /api/v1/users
[2026-05-20T03:43:30.407Z] GET /api/v1/roles
[2026-05-20T03:43:30.409Z] GET /api/v1/users
[2026-05-20T03:43:30.411Z] GET /api/v1/roles
[2026-05-20T03:43:32.056Z] POST /api/v1/auth/login
[2026-05-20T03:43:32.371Z] GET /api/v1/users
[2026-05-20T03:43:33.047Z] POST /api/v1/auth/login
[2026-05-20T03:43:33.689Z] GET /api/v1/users
[2026-05-20T03:43:33.693Z] GET /api/v1/users
[2026-05-20T03:43:33.695Z] GET /api/v1/roles
[2026-05-20T03:43:33.697Z] GET /api/v1/roles
[2026-05-20T03:43:35.336Z] POST /api/v1/auth/login
[2026-05-20T03:43:35.657Z] GET /api/v1/users
[2026-05-20T03:43:36.320Z] POST /api/v1/auth/login
[2026-05-20T03:43:36.963Z] GET /api/v1/roles
[2026-05-20T03:43:36.965Z] GET /api/v1/roles
[2026-05-20T03:43:38.763Z] POST /api/v1/auth/login
[2026-05-20T03:43:39.201Z] GET /api/v1/users
[2026-05-20T03:43:39.994Z] POST /api/v1/auth/login
[2026-05-20T03:43:40.703Z] GET /api/v1/roles
[2026-05-20T03:43:40.707Z] GET /api/v1/roles
[2026-05-20T03:43:42.423Z] POST /api/v1/auth/login
[2026-05-20T03:43:42.756Z] GET /api/v1/users
[2026-05-20T03:43:43.496Z] POST /api/v1/auth/login
[2026-05-20T03:43:44.067Z] GET /api/v1/users
[2026-05-20T03:43:44.069Z] GET /api/v1/users
[2026-05-20T03:43:44.070Z] GET /api/v1/roles
[2026-05-20T03:43:44.072Z] GET /api/v1/roles
[2026-05-20T03:43:45.341Z] POST /api/v1/auth/login
[2026-05-20T03:43:45.644Z] GET /api/v1/users
[2026-05-20T03:43:46.282Z] POST /api/v1/auth/login
[2026-05-20T03:43:46.682Z] GET /api/v1/inventory/stats
[2026-05-20T03:43:46.686Z] GET /api/v1/inventory/stats
[2026-05-20T03:43:46.688Z] GET /api/v1/inbound
[2026-05-20T03:43:46.691Z] GET /api/v1/outbound
[2026-05-20T03:43:46.694Z] GET /api/v1/outbound
[2026-05-20T03:43:47.064Z] GET /api/v1/users
